"Time","No.","Length","Source","Destination","Protocol","Info"
"0","1","124","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"24","2","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=1868, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet]"
"0","3","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=1868, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet]"
"0","4","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=1871, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet: length of contained item exceeds length of containing item]"
"0","5","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=1872, FN=0, Flags=........, BI=100, SSID=atedu2019[Malformed Packet: length of contained item exceeds length of containing item]"
"6","6","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"13","7","140","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"41","8","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"1","9","137","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"12","10","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"0","11","140","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"27","12","124","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"12","13","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"13","14","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"7","15","140","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"13","16","135","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"9","17","140","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"5","18","254","Apple_18:6d:e9","IPv4mcast_7f:ff:fa","802.11","Data, SN=1484, FN=0, Flags=.p....F."
"16","19","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=3707, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet]"
"0","20","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=3707, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet: length of contained item exceeds length of containing item]"
"0","21","306","EFMNetwo_d4:03:c6","Apple_8e:ea:09","802.11","Probe Response, SN=3707, FN=0, Flags=....R..., BI=100, SSID=atedu2019[Malformed Packet: length of contained item exceeds length of containing item]"
"2","22","66","EFMNetwo_fc:c7:f4","SamsungE_12:54:5a","ARP","192.168.0.1 is at 64:e5:99:fc:c7:f4"
"0","23","140","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
"6","24","137","192.168.0.1","192.168.0.2","ICMP","Destination unreachable (Network unreachable)"
